cmaEs	de	pso	simpleEs-0.02	simpleEs-0.25	simpleEs-0.5	ga-0.02	ga-0.25	ga-0.5
475	1290	10013	2650	2210	10013	10013	1700	3800
551	1305	10013	2230	2270	10013	9300	1700	3400
456	1050	10013	2630	2530	10013	10013	1600	2800
551	1440	10013	2450	2010	10013	9500	1700	3500
475	1920	10013	2630	1970	10013	9500	1900	4200
494	1440	10013	2730	2710	10013	9100	1700	3800
475	1650	10013	2710	2230	10013	10013	1800	3400
570	1440	10013	2430	2770	10013	9500	1800	3700
399	2220	10013	2930	1550	10013	9900	1800	3000
418	1335	10013	2770	2710	10013	9300	1700	2600
532	1500	10013	2630	2510	10013	9700	2000	3500
608	1125	10013	2610	2690	10013	10013	1700	3900
418	1500	7100	2610	2010	10013	9800	1700	3500
513	1485	10013	2330	2790	10013	9300	1600	3700
437	1455	10013	2810	2970	10013	9500	1700	3300
456	1500	10013	2510	2310	10013	10000	1800	3400
532	1545	10013	2590	1890	10013	10013	1800	3300
532	1425	10013	2530	1870	10013	9500	1800	3300
475	1275	10013	2790	1890	10013	10000	1800	3100
437	1470	10013	2670	2110	10013	10013	1700	4400
589	1215	10013	2650	2310	10013	8700	1800	4100
437	1890	10013	2830	1850	10013	9500	1800	3800
589	1485	10013	2330	2070	10013	10013	1900	3100
704	1095	4200	2370	10010	10010	3000	1200	4600
748	1020	10010	2030	10010	10010	2300	1100	5000
704	1155	3900	1910	10010	10010	2800	1000	6100
572	1275	10010	2250	10010	10010	2700	1200	5000
550	900	3800	2170	10010	10010	3200	1200	4400
594	1530	7300	2470	10010	10010	2500	1300	4700
616	1080	5500	1930	10010	10010	2200	1200	5400
682	1320	7100	1990	10010	10010	2500	1100	5000
616	1095	3100	2250	10010	10010	2400	1200	5400
462	825	5400	1910	10010	10010	2300	1200	5900
638	1155	5500	2090	10010	10010	2100	1200	5900
550	1050	4900	2030	10010	10010	2200	1200	5900
616	945	4000	1970	10010	10010	2200	1200	4500
638	1260	3700	2050	10010	10010	2700	1100	4100
682	810	10010	2310	10010	10010	2300	900	3800
638	1440	10010	1910	8610	10010	2400	1000	4000
748	1020	2600	2250	10010	10010	3100	1300	4600
616	1545	5400	2450	10010	10010	2600	1200	5200
594	1095	5400	2330	10010	10010	2100	1200	4100
814	1050	4200	2050	10010	10010	2400	1100	5000
748	1245	10010	2110	10010	10010	2700	1000	4800
594	1410	10010	2190	10010	10010	1700	1400	4800
572	1425	4800	2370	10010	10010	2800	1400	5100
748	1335	7100	2490	10010	10010	2800	1200	4500
594	1065	4700	2290	10010	10010	2000	1100	5500
682	1410	10000	2410	10010	10010	2900	1100	4600
770	1200	4000	2350	10010	10010	2300	1100	5500
528	1305	10010	2190	10010	10010	2600	800	4900
748	2055	3300	2310	10010	10010	2700	1100	5400
748	1035	10010	2270	10010	10010	3200	1100	4500
240	270	600	10010	1670	10010	300	600	10010
264	270	700	590	510	10010	300	900	10010
288	330	800	490	450	10010	300	500	10010
372	330	800	610	590	10010	300	500	10010
216	330	700	670	1130	10010	300	400	10010
228	345	800	530	850	10010	300	600	10010
276	375	900	550	170	10010	300	300	10010
228	375	1000	10010	1030	10010	300	400	10010
336	390	800	10010	1810	10010	400	300	10010
252	210	800	670	1150	10010	300	600	10010
192	375	800	630	2210	10010	400	400	10010
276	285	400	10010	350	10010	300	500	10010
240	495	800	10010	2330	10010	300	500	10010
240	330	400	10010	3310	10010	300	500	10010
264	375	600	10010	2190	10010	300	600	10010
276	375	600	510	790	10010	300	700	10010
192	300	700	510	7930	10010	300	700	10010
264	270	700	610	270	10010	300	600	10010
252	210	700	810	2330	10010	300	700	10010
216	285	600	10010	1350	10010	300	600	10010
396	285	1000	710	290	10010	300	500	10010
312	240	600	770	650	10010	300	500	10010
312	255	600	650	1070	10010	300	300	10010
288	345	600	550	510	10010	300	600	10010
300	270	600	810	370	10010	300	400	10010
372	300	500	650	990	10010	300	500	10010
240	345	800	470	330	10010	300	600	10010
288	255	700	510	490	10010	300	800	10010
216	300	700	570	3550	10010	300	900	10010
324	375	700	650	4990	10010	300	900	10010
374	330	300	310	10013	10013	200	200	9400
357	300	300	390	7250	10013	200	200	10013
391	390	300	550	3330	10013	200	200	10013
374	210	300	250	10013	10013	200	200	3000
408	270	300	390	3230	10013	200	200	10013
493	360	300	310	6110	10013	200	200	10013
510	255	300	370	5190	10013	200	200	10013
289	135	300	170	5470	10013	200	200	10013
493	270	300	250	10013	10013	200	200	9400
442	180	300	330	10013	10013	200	200	10013
391	240	300	310	1390	10013	200	200	10013
408	210	100	310	10013	10013	200	200	3100
442	165	300	190	90	10013	200	200	10013
459	300	300	390	10013	10013	200	200	10013
476	210	300	170	90	10013	200	200	10013
289	285	300	310	10013	10013	200	200	10013
289	225	300	350	10013	10013	200	200	10013
510	210	300	190	4450	10013	200	200	9300
357	150	300	210	3350	10013	200	200	10013
323	120	300	490	10013	10013	200	200	9000
425	225	300	370	1650	10013	200	200	10013
374	420	300	250	1050	10013	200	200	10013
459	315	300	390	10013	10013	200	200	10013
340	210	300	370	10013	10013	200	200	10013
459	210	300	230	10013	10013	200	200	10013
374	225	300	410	4910	10013	200	200	10013
272	180	300	270	2110	10013	200	200	10013
646	195	300	330	2610	10013	200	200	10013
612	90	300	330	10013	10013	200	200	10013
527	75	300	90	390	10013	200	200	10013
627	300	300	250	10013	10013	100	100	10013
1140	375	300	230	10013	10013	200	200	10013
551	435	300	310	10013	10013	200	200	10013
722	450	300	130	910	10013	100	200	1200
703	705	300	210	10013	10013	200	200	10013
912	210	300	150	890	10013	200	200	10013
874	195	300	230	10013	10013	200	100	3600
741	180	300	130	1390	10013	200	200	5700
741	15	300	170	10013	10013	200	200	10013
817	90	100	110	10013	10013	200	200	10013
1045	345	300	270	2670	10013	200	200	100
646	915	100	30	30	30	200	100	10013
931	225	100	90	10013	10013	200	200	10013
893	495	100	30	30	30	100	200	10013
950	360	300	150	1990	10013	200	200	10013
1083	195	100	190	3850	10013	200	200	100
703	345	300	90	4490	10013	200	200	10013
1026	165	300	230	10013	10013	200	200	3600
950	540	300	170	110	10013	200	200	10013
703	435	300	250	10013	10013	200	100	10013
931	285	300	110	10013	10013	200	200	10013
931	165	300	250	10013	10013	200	100	100
950	435	300	130	10013	10013	100	200	10013
893	465	100	150	10013	10013	100	200	100
779	360	300	110	10013	10013	200	100	10013
855	375	300	290	10013	10013	200	200	7900
722	180	300	50	10013	10013	100	200	10013
760	225	300	150	10013	10013	200	200	10000
893	135	300	250	10013	10013	200	200	100
779	90	300	70	10013	10013	200	100	10013
2882	1995	100	70	10010	10010	100	100	10010
2970	15	300	110	10010	10010	100	100	100
2772	10010	100	30	30	30	100	100	100
2816	15	100	110	10010	10010	100	100	100
2376	10010	100	30	30	30	200	100	100
2838	10010	100	70	10010	10010	200	100	100
2728	15	300	190	10010	10010	200	100	10010
2398	10010	100	110	10010	10010	200	100	100
2706	10010	100	90	10010	10010	100	100	100
3168	10010	100	30	30	30	200	100	10010
2970	10010	100	170	10010	10010	200	100	100
2662	15	100	30	30	30	200	100	10010
